Barbut                        ,Ole Askman                                                                                               
Bad Liaisons                  ,Alexandre Astruc                                                                                         
Bastards                      ,Alexander Atanesyan                                                                                      
Baobab                        ,Laurence Attali                                                                                          
Bameul gidarineun haebaragi   ,Jong-seon Eom                                                                                            
Bang Kang-soe 3               ,Jong-seon Eom                                                                                            
Bad Friend                    ,Dusty Austen                                                                                             
Babes Illustrated 13          ,James Avalon                                                                                             
Badjao: The Sea Gypsies       ,Lamberto V. Avellana                                                                                     
Battal Gazi Geliyor           ,Sami Ayanoglu                                                                                            
Barbosa                       ,Ana Luiza Azevedo                                                                                        
Battle of Berlin              ,Franz Baake                                                                                              
Basna                         ,Ante Babaja                                                                                              
Balkanska perestrojka         ,Vuk Babic                                                                                                
Babysitter                    ,Hans Bachmüller                                                                                         
Bambai Ki Sair                ,Sarvottam Badami                                                                                         
Bachelor of the Month         ,Reza Badiyi                                                                                              
Baas Ganzendonck              ,Germain Baert                                                                                            
Ball Park                     ,Harry Bailey                                                                                             
Barnyard Melody               ,Harry Bailey                                                                                             
Bad Chemistry                 ,Jason Bailey                                                                                             
Babalarin Babasi              ,Natuk Baytan                                                                                             
Balkan Rules                  ,Darko Bajic                                                                                              
Bal na dworcu w Koluszkach    ,Filip Bajon                                                                                              
Bacanal de Colegiais          ,Juan Bajon                                                                                               
Bama Vijayam                  ,K. Balachander                                                                                           
Balaraju                      ,Ghantasala Balaramaiah                                                                                   
Balkan ekspres                ,Branko Baletic                                                                                           
Baas Gansendonck              ,Maurits Balfoort                                                                                         
Baby Mine                     ,Hugo Ballin                                                                                              
Bambola                       ,Silvio Bandinelli                                                                                        
Baby Doll                     ,Jon Bang Carlsen                                                                                         
Baran-O-Bumi                  ,Rakhshan Banietemad                                                                                      
Banchita                      ,Jyotish Bannerjee                                                                                        
Bauernhochzeit                ,Walter Bannert                                                                                           
Bandish                       ,K. Bapaiah                                                                                               
Balaraju Katha                ,Bapu                                                                                                     
Bangaru Pichika               ,Bapu                                                                                                     
Baby Puss                     ,Joseph Barbera                                                                                           
Baby Butch                    ,Joseph Barbera                                                                                           
Barbecue Brawl                ,Joseph Barbera                                                                                           
Banquet                       ,Garri Bardin                                                                                             
Bathtub Bully                 ,J.D. Barfield                                                                                            
Balkanska ruleta              ,Zdravko Barisic                                                                                          
Back of the Man               ,Reginald Barker                                                                                          
