Baby Sit-Com                  ,Jay Sandrich                                                                                             
Bad Dreams                    ,Jay Sandrich                                                                                             
Bad Choices                   ,Philip Sgriccia                                                                                          
Battleground Earth            ,Philip Sgriccia                                                                                          
Barbarians at the Planet      ,James R. Bagdonas                                                                                        
Barsaat                       ,Raj Kapoor                                                                                               
Badlands 2005                 ,George Miller                                                                                            
Babe: Pig in the City         ,George Miller                                                                                            
Backing in 6                  ,Gary Graver                                                                                              
Backing in 7                  ,Gary Graver                                                                                              
Barbara the Barbarian         ,Gary Graver                                                                                              
Bail Out                      ,Paul Landres                                                                                             
Bandits in Uniform            ,Paul Landres                                                                                             
Bad Time Charlie              ,Paul Landres                                                                                             
Battle Club                   ,John Fasano                                                                                              
Barry Manilow: Big Fun on Swin,Steve Binder                                                                                             
Back to P.C.A.                ,Adam Weissman                                                                                            
Batman: Dead End              ,Sandy Collora                                                                                            
Babycakes                     ,Paul Schneider                                                                                           
Bad Girls                     ,Michael Lange                                                                                            
Band Candy                    ,Michael Lange                                                                                            
Battle of the Sexes           ,Michael Lange                                                                                            
Bank                          ,Michael Lange                                                                                            
Bad Blood                     ,Michael Lange                                                                                            
Baxter and Boz                ,Michael Lange                                                                                            
Bare Essentials               ,Martha Coolidge                                                                                          
Back in the New Routine       ,Micky Dolenz                                                                                             
Baseballs of Death            ,Bill Duke                                                                                                
Bachelor Party                ,Jamie Foxx                                                                                               
Bad Review                    ,Melissa Joan Hart                                                                                        
Battleground                  ,Brian Henson                                                                                             
Baby Buggy Bunny              ,Chuck Jones                                                                                              
Barbary-Coast Bunny           ,Chuck Jones                                                                                              
Baton Bunny                   ,Chuck Jones                                                                                              
Bad Day at Cat Rock           ,Chuck Jones                                                                                              
Ball Point Puns               ,Chuck Jones                                                                                              
Bad-Time Story                ,Chuck Jones                                                                                              
Babe in the Woods             ,Joanna Kerns                                                                                             
Bachelor Party                ,Joe Regalbuto                                                                                            
Ball and Chain                ,Joe Regalbuto                                                                                            
Bach Cello Suite #6: Six Gestu,Patricia Rozema                                                                                          
Baby Boy                      ,John Singleton                                                                                           
Baadasssss!                   ,Mario Van Peebles                                                                                        
Bajo en nicotina              ,Raúl Artigot                                                                                            
Batallons de muntanya         ,Manuel Berenguer                                                                                         
Bath Scene                    ,William K.L. Dickson                                                                                     
Band Drill                    ,William K.L. Dickson                                                                                     
Barcelona bajo la nieve       ,Fructuós Gelabert                                                                                       
Balkan Runner                 ,Stelvio Massi                                                                                            
Ballermann 6                  ,Gernot Roll                                                                                              
Baberellas                    ,Chuck Cirino                                                                                             
Bandits and Ballads           ,Friedrich Hollaender                                                                                     
Bala                          ,Satyajit Ray                                                                                             
Bahen                         ,Mehboob Khan                                                                                             
Baduk                         ,Majid Majidi                                                                                             
Baran                         ,Majid Majidi                                                                                             
Barefoot to Herat             ,Majid Majidi                                                                                             
Babushka Part One             ,Derek Lister                                                                                             
Baby Talk                     ,Derek Lister                                                                                             
Bad To The Bone               ,Charles Wilkinson                                                                                        
Babyklappe                    ,Michael Zens                                                                                             
Bats in the Belfry            ,Paul J. Smith                                                                                            
Bangaru Gaajulu               ,Rao C.S.R.                                                                                               
Bandhalu Anubhandhalu         ,Rao C.S.R.                                                                                               
Backlash                      ,David de Vos                                                                                             
Baby Face Nelson              ,Scott P. Levy                                                                                            
Babar Comes to America        ,Bill Melendez                                                                                            
Babylon                       ,Tim Hunter                                                                                               
Baby Love and Beau            ,Damian Lee                                                                                               
Bankraub                      ,Konrad Sabrautzky                                                                                        
Baldauf                       ,Konrad Sabrautzky                                                                                        
Bad Moose Rising              ,Roger Christiansen                                                                                       
Babalao                       ,Richard Milton                                                                                           
Basketball... Again?          ,Andrew Susskind                                                                                          
Baby Be Good                  ,Charles Lamont                                                                                           
Bagdad                        ,Charles Lamont                                                                                           
Bachelor Babies               ,Charles Lamont                                                                                           
Bauernschach                  ,Helmut Berger                                                                                            
Baby Doll                     ,Zane Buzby                                                                                               
Bats                          ,Louis Morneau                                                                                            
Bangers                       ,Charles Siebert                                                                                          
Baggage                       ,Evan Aaronson                                                                                            
Baby Class at Lunch           ,A.C. Abadie                                                                                              
Bambai Raat Ki Bahon Mein     ,Khwaja Ahmad Abbas                                                                                       
Back to Front                 ,Sam Abdul                                                                                                
Bakuretsu! Mezame Ta Yoko     ,Noriyuki Abe                                                                                             
Batabata batafurai!           ,Masashi Abe                                                                                              
Back to New York              ,Hisham Abed                                                                                              
Batang quiricada              ,Maria Saret                                                                                              
Baja California               ,Jesus Hermenegildo Abitia                                                                                
Baby Bridges: Space and Sea   ,Deren Abram                                                                                              
Banjoman                      ,Richard Gilbert Abramson                                                                                 
Baleroy Ghost                 ,Stephen J. Abramson                                                                                      
Bandipotu                     ,B. Vittalacharya                                                                                         
Bandhan                       ,N.R. Acharya                                                                                             
Babs                          ,Irma Achten                                                                                              
Back by Demand                ,Andy Ackerman                                                                                            
Baby                          ,Robert Allan Ackerman                                                                                    
Bark!                         ,Kasia Adamik                                                                                             
Babewatch                     ,Buck Adams                                                                                               
Babewatch 2                   ,Buck Adams                                                                                               
Babewatch 3                   ,Buck Adams                                                                                               
Babewatch 4                   ,Buck Adams                                                                                               
Backhand                      ,Buck Adams                                                                                               
Bare Ass Beach                ,Buck Adams                                                                                               
Babewatch 5                   ,Buck Adams                                                                                               
Babewatch 8                   ,Buck Adams                                                                                               
Babewatch 6                   ,Buck Adams                                                                                               
Babewatch 7                   ,Buck Adams                                                                                               
Back from the Brink           ,Mike Adams                                                                                               
Bad Girl                      ,Neil Adams                                                                                               
BB05: Uncut 1                 ,Mark Adamson                                                                                             
BB06: Nomination 1            ,Mark Adamson                                                                                             
BB07: Live Nomination 1       ,Mark Adamson                                                                                             
BB07: Live Nomination 2       ,Mark Adamson                                                                                             
BB06: Nomination 2            ,Mark Adamson                                                                                             
BB06: Nomination 3            ,Mark Adamson                                                                                             
BB05: Uncut 3                 ,Mark Adamson                                                                                             
BB07: Live Nomination 3       ,Mark Adamson                                                                                             
BB05: Uncut 4                 ,Mark Adamson                                                                                             
BB06: Nomination 4            ,Mark Adamson                                                                                             
BB07: Live Nomination 4       ,Mark Adamson                                                                                             
BB05: Uncut 5                 ,Mark Adamson                                                                                             
BB06: Nomination 5            ,Mark Adamson                                                                                             
BB07: Eviction 5              ,Mark Adamson                                                                                             
