Abschied vom Zelluloid        ,Jörg Bundschuh                                                                                          
Abnormal Psychology           ,James Burrows                                                                                            
Able to Leap Tall Buildings   ,Russell Burton                                                                                           
Abstronic                     ,Mary Ellen Bute                                                                                          
Abgewiesen                    ,Hans-Günther Bücking                                                                                   
Abiturienten                  ,Lutz Büscher                                                                                            
Abseits                       ,Lutz Büscher                                                                                            
Aí Vem a Alegria             ,José Cajado Filho                                                                                       
Abdulla from Minye 2          ,Yücel Çakmakli                                                                                         
Abdullah from Minye           ,Yücel Çakmakli                                                                                         
Ab ovo/homoknyomok            ,Ferenc Cakó                                                                                             
AAA bella presenza cercasi    ,Gianluigi Calderone                                                                                      
Abie's Imported Bride         ,Roy Calnek                                                                                               
About Princess Furiena        ,Nina Campulková                                                                                         
Abra Cadaver                  ,Danny Cannon                                                                                             
Abdullah Ibrahim: A Struggle f,Ciro Cappellari                                                                                          
Absolutely ABC                ,Peter Care                                                                                               
Abrechnung                    ,David Carreras                                                                                           
Abortar en Londres            ,Gil Carretero                                                                                            
Abismo                        ,José María Carreño                                                                                    
Abby Dalton, Ron Glass, Robert,Bill Carruthers                                                                                          
Abby Dalton, Pat Harrington, L,Bill Carruthers                                                                                          
Abandoned Forge               ,Aglauco Casadio                                                                                          
Above Suspicion               ,Jon Cassar                                                                                               
Abajo los hombres             ,José María Castellví                                                                                  
Absolute Strangers            ,Gilbert Cates                                                                                            
Aberrações de Uma Prosti    ,Francisco Cavalcanti                                                                                     
Abilene                       ,Rebecca Cely                                                                                             
Abbas in Flower               ,Sinan Çetin                                                                                             
Aadhi Raat                    ,Chandrakant                                                                                              
Aalasyam                      ,P. Chandrakumar                                                                                          
Aarathi                       ,P. Chandrakumar                                                                                          
Aana                          ,P. Chandrakumar                                                                                          
Aadhya Paapam                 ,P. Chandrakumar                                                                                          
Aashramam                     ,K.K. Chandran                                                                                            
Abe & Bruno                   ,Henri Charr                                                                                              
Abhimanyu                     ,Biplab Chatterjee                                                                                        
Abhishapta                    ,Digambar Chatterjee                                                                                      
Aaj Kaal Parshur Galpa        ,Nabyendu Chatterjee                                                                                      
Absolve                       ,Sammy Chekhes                                                                                            
Aalorungi Arangorungi         ,Kottayam Chellappan                                                                                      
Abnormal Reaction: Ecstasy    ,Giichi Nishihara                                                                                         
Abnormal Passion Case: Razor  ,Giichi Nishihara                                                                                         
Aaj Ki Baat                   ,Leela Chitnis                                                                                            
Aaj Ki Awaz                   ,Ravi Chopra                                                                                              
Aaj Kal                       ,R.S. Choudhury                                                                                           
Aankh Michouli                ,R.S. Choudhury                                                                                           
Ab-normal Beauty              ,Oxide Chun Pang                                                                                          
Abandoned                     ,Jerry Ciccoritti                                                                                         
Abduction                     ,Tom Clegg                                                                                                
Abracadabra                   ,Harry Cleven                                                                                             
Ablaze                        ,Francois Clousot                                                                                         
Abîme                        ,Jacques Cluzaud                                                                                          
Abba Ganuv II                 ,Avi Cohen                                                                                                
About Last Night              ,Gerry Cohen                                                                                              
Abducted                      ,Webster Colcord                                                                                          
Aaron's Rod                   ,A.E. Coleby                                                                                              
Abducted                      ,Boon Collins                                                                                             
Abducted II: The Reunion      ,Boon Collins                                                                                             
Abilene Trail                 ,Lewis D. Collins                                                                                         
Abuse of Power                ,Michael Connolly                                                                                         
Abduction                     ,David Worth                                                                                              
Aberrazioni sessuali in un car,Mauro Conti                                                                                              
Abduction of Innocence        ,James A. Contner                                                                                         
Abracadabra                   ,Jodie Copelan                                                                                            
Aaron L./Scott/Mullen/Libby M ,Christopher Coppola                                                                                      
ABC Sneak Peek with Step by St,Richard Correll                                                                                          
Aardstralen                   ,Dirk Corthout                                                                                            
Aaagghg! Spiders!             ,Brian Cosgrove                                                                                           
Abril no Minho                ,Ricardo Costa                                                                                            
Abacaxi Azul                  ,Ruy Costa                                                                                                
Abends Kammermusik            ,Ludwig Cremer                                                                                            
Abe Lincoln in Illinois       ,John Cromwell                                                                                            
About Chester                 ,Alan Crosland Jr.                                                                                        
About Time                    ,Owen Crump                                                                                               
Año nuevo, cambio de sexo    ,Antonio Cuadri                                                                                           
Abuso sexual                  ,Manuel Cuenca                                                                                            
Abou Ben Boogie               ,Shamus Culhane                                                                                           
Abbalett                      ,Birgit Cullberg                                                                                          
Aachen '44                    ,Jürgen Corleis                                                                                          
Aarzoo                        ,Lawrence D'Souza                                                                                         
Abraham                       ,Nataliya Dabizha                                                                                         
Above the Law                 ,Holly Dale                                                                                               
Absolution                    ,Holly Dale                                                                                               
Abbronzatissimi               ,Bruno Gaburro                                                                                            
Abbronzatissimi 2 - Un anno do,Bruno Gaburro                                                                                            
Abra-Cadaver                  ,Rod Daniel                                                                                               
Aber Nunek, die Hosen!        ,Danny Kaden                                                                                              
Aap Ki Khatir                 ,Dharmesh Darshan                                                                                         
Abasheshe                     ,Dinesh Ranjan Das                                                                                        
Aaj Kaa M.L.A. Ram Avtar      ,Dasari Narayana Rao                                                                                      
Aatma Bandhuvulu              ,Dasari Narayana Rao                                                                                      
Aadi Dampathulu               ,Dasari Narayana Rao                                                                                      
Abhimanyudu                   ,Dasari Narayana Rao                                                                                      
Abhijatya                     ,Sukumar Dasgupta                                                                                         
Abhoyer Biye                  ,Sukumar Dasgupta                                                                                         
Abner Willoughby's Return     ,Herschel Daugherty                                                                                       
Abandoned                     ,Adam Davidson                                                                                            
Absence                       ,Eric Davidson                                                                                            
Absorba the Greek             ,David Davis                                                                                              
Abraham Lincoln               ,J. Searle Dawley                                                                                         
Abriendo fuego                ,Rodolfo de Anda                                                                                          
Aankomst en verblijf in Brusse,Hippolyte De Kempeneer                                                                                   
Aankomst in 1926 van Prinses A,Clemens De Landtsheer                                                                                    
Abraham's Valley              ,Manoel de Oliveira                                                                                       
Abschiedsbrief                ,Axel de Roche                                                                                            
Abused Confidence             ,Henri Decoin                                                                                             
Abisa a los compañeros       ,Felipe Degregori                                                                                         
About Face                    ,Roy Del Ruth                                                                                             
Abschied                      ,John Delbridge                                                                                           
Abgestürzt                   ,John Delbridge                                                                                           
Abridging the Devil's Divide  ,Peter DeLuise                                                                                            
Absolute Power                ,Peter DeLuise                                                                                            
Aaltra                        ,Benoît Delépine                                                                                        
Abbase Sultan                 ,Turgut Demirag                                                                                           
Abide with Me                 ,Martin Dennis                                                                                            
Abschied von Maren            ,Rolf Liccini                                                                                             
Abs of Steel                  ,Paul Des Chenes                                                                                          
