The Faded Lilies              ,D.W. Griffith                                                                                            
A Fair Exchange               ,D.W. Griffith                                                                                            
The Fascinating Mrs. Francis  ,D.W. Griffith                                                                                            
A Fool's Revenge              ,D.W. Griffith                                                                                            
Fools of Fate                 ,D.W. Griffith                                                                                            
The French Duel               ,D.W. Griffith                                                                                            
The Friend of the Family      ,D.W. Griffith                                                                                            
Getting Even                  ,D.W. Griffith                                                                                            
The Gibson Goddess            ,D.W. Griffith                                                                                            
The Girls and Daddy           ,D.W. Griffith                                                                                            
The Golden Louis              ,D.W. Griffith                                                                                            
The Heart of an Outlaw        ,D.W. Griffith                                                                                            
Her First Biscuits            ,D.W. Griffith                                                                                            
The Hessian Renegades         ,D.W. Griffith                                                                                            
The Hindoo Dagger             ,D.W. Griffith                                                                                            
His Duty                      ,D.W. Griffith                                                                                            
His Lost Love                 ,D.W. Griffith                                                                                            
His Ward's Love               ,D.W. Griffith                                                                                            
His Wife's Mother             ,D.W. Griffith                                                                                            
His Wife's Visitor            ,D.W. Griffith                                                                                            
The Honor of Thieves          ,D.W. Griffith                                                                                            
I Did It                      ,D.W. Griffith                                                                                            
In Little Italy               ,D.W. Griffith                                                                                            
In Old Kentucky               ,D.W. Griffith                                                                                            
In a Hempen Bag               ,D.W. Griffith                                                                                            
In the Watches of the Night   ,D.W. Griffith                                                                                            
In the Window Recess          ,D.W. Griffith                                                                                            
The Indian Runner's Romance   ,D.W. Griffith                                                                                            
Jealousy and the Man          ,D.W. Griffith                                                                                            
The Jilt                      ,D.W. Griffith                                                                                            
Jones and His New Neighbors   ,D.W. Griffith                                                                                            
Jones and the Lady Book Agent ,D.W. Griffith                                                                                            
The Joneses Have Amateur Theat,D.W. Griffith                                                                                            
Lady Helen's Escapade         ,D.W. Griffith                                                                                            
Leather Stocking              ,D.W. Griffith                                                                                            
The Light That Came           ,D.W. Griffith                                                                                            
Lines of White on a Sullen Sea,D.W. Griffith                                                                                            
The Little Darling            ,D.W. Griffith                                                                                            
The Little Teacher            ,D.W. Griffith                                                                                            
The Lonely Villa              ,D.W. Griffith                                                                                            
Love Finds a Way              ,D.W. Griffith                                                                                            
Lucky Jim                     ,D.W. Griffith                                                                                            
The Lure of the Gown          ,D.W. Griffith                                                                                            
Mamma                         ,D.W. Griffith                                                                                            
The Maniac Cook               ,D.W. Griffith                                                                                            
The Medicine Bottle           ,D.W. Griffith                                                                                            
The Mended Lute               ,D.W. Griffith                                                                                            
The Message                   ,D.W. Griffith                                                                                            
The Mexican Sweethearts       ,D.W. Griffith                                                                                            
A Midnight Adventure          ,D.W. Griffith                                                                                            
The Mills of the Gods         ,D.W. Griffith                                                                                            
The Mountaineer's Honor       ,D.W. Griffith                                                                                            
Mr. Jones Has a Card Party    ,D.W. Griffith                                                                                            
Mr. Jones' Burglar            ,D.W. Griffith                                                                                            
Mrs. Jones' Lover; or, 'I Want,D.W. Griffith                                                                                            
The Necklace                  ,D.W. Griffith                                                                                            
A New Trick                   ,D.W. Griffith                                                                                            
The Note in the Shoe          ,D.W. Griffith                                                                                            
Nursing a Viper               ,D.W. Griffith                                                                                            
Oh, Uncle!                    ,D.W. Griffith                                                                                            
One Busy Hour                 ,D.W. Griffith                                                                                            
One Touch of Nature           ,D.W. Griffith                                                                                            
The Open Gate                 ,D.W. Griffith                                                                                            
The Peachbasket Hat           ,D.W. Griffith                                                                                            
Pippa Passes; or, the Song of ,D.W. Griffith                                                                                            
The Politician's Love Story   ,D.W. Griffith                                                                                            
Pranks                        ,D.W. Griffith                                                                                            
The Prussian Spy              ,D.W. Griffith                                                                                            
The Redman's View             ,D.W. Griffith                                                                                            
The Renunciation              ,D.W. Griffith                                                                                            
The Restoration               ,D.W. Griffith                                                                                            
Resurrection                  ,D.W. Griffith                                                                                            
The Road to the Heart         ,D.W. Griffith                                                                                            
The Roue's Heart              ,D.W. Griffith                                                                                            
A Rude Hostess                ,D.W. Griffith                                                                                            
A Rural Elopement             ,D.W. Griffith                                                                                            
The Sacrifice                 ,D.W. Griffith                                                                                            
The Salvation Army Lass       ,D.W. Griffith                                                                                            
Schneider's Anti-Noise Crusade,D.W. Griffith                                                                                            
The Sealed Room               ,D.W. Griffith                                                                                            
The Seventh Day               ,D.W. Griffith                                                                                            
The Slave                     ,D.W. Griffith                                                                                            
The Son's Return              ,D.W. Griffith                                                                                            
A Sound Sleeper               ,D.W. Griffith                                                                                            
A Strange Meeting             ,D.W. Griffith                                                                                            
The Suicide Club              ,D.W. Griffith                                                                                            
A Sweet Revenge               ,D.W. Griffith                                                                                            
Sweet and Twenty              ,D.W. Griffith                                                                                            
Tender Hearts                 ,D.W. Griffith                                                                                            
The Test                      ,D.W. Griffith                                                                                            
They Would Elope              ,D.W. Griffith                                                                                            
Those Awful Hats              ,D.W. Griffith                                                                                            
Those Boys!                   ,D.W. Griffith                                                                                            
Through the Breakers          ,D.W. Griffith                                                                                            
Tis an Ill Wind That Blows No ,D.W. Griffith                                                                                            
To Save Her Soul              ,D.W. Griffith                                                                                            
Tragic Love                   ,D.W. Griffith                                                                                            
A Trap for Santa Claus        ,D.W. Griffith                                                                                            
The Trick That Failed         ,D.W. Griffith                                                                                            
A Troublesome Satchel         ,D.W. Griffith                                                                                            
Trying to Get Arrested        ,D.W. Griffith                                                                                            
Twin Brothers                 ,D.W. Griffith                                                                                            
Two Memories                  ,D.W. Griffith                                                                                            
Two Women and a Man           ,D.W. Griffith                                                                                            
The Violin Maker of Cremona   ,D.W. Griffith                                                                                            
The Voice of the Violin       ,D.W. Griffith                                                                                            
Wanted, a Child               ,D.W. Griffith                                                                                            
Was Justice Served?           ,D.W. Griffith                                                                                            
The Way of Man                ,D.W. Griffith                                                                                            
The Welcome Burglar           ,D.W. Griffith                                                                                            
The Heart of a Cowboy         ,Gilbert M. 'Broncho Billy' Anderson                                                                      
